xcord,ycord,biomass,year
39,364,65.2865,2010
40,364,71.9185,2010
41,364,72.9811,2010
42,364,69.7992,2010
43,364,65.7755,2010
44,364,73.4252,2010
45,364,63.446,2010
37,363,68.379,2010
38,363,64.8566,2010
39,363,71.571,2010
40,363,71.1621,2010
41,363,76.9981,2010
42,363,64.7618,2010
43,363,67.081,2010
44,363,74.1541,2010
45,363,74.9031,2010
46,363,59.7867,2010
37,362,69.5867,2010
38,362,70.1227,2010
39,362,75.5825,2010
40,362,69.2166,2010
41,362,69.1263,2010
42,362,74.3141,2010
43,362,65.1663,2010
44,362,64.2032,2010
45,362,63.1839,2010
46,362,67.8244,2010
47,362,69.6519,2010
48,362,69.3277,2010
49,362,62.5397,2010
50,362,61.7298,2010
51,362,55.4231,2010
37,361,78.4521,2010
38,361,72.716,2010
39,361,69.4049,2010
40,361,66.037,2010
41,361,69.2781,2010
42,361,66.0612,2010
43,361,68.4745,2010
44,361,73.4147,2010
45,361,67.2228,2010
46,361,61.7041,2010
47,361,64.2357,2010
48,361,57.4968,2010
49,361,57.8876,2010
50,361,60.7024,2010
51,361,51.3825,2010
37,360,71.5776,2010
38,360,71.2551,2010
39,360,75.9811,2010
40,360,76.4218,2010
41,360,80.1608,2010
42,360,70.684,2010
43,360,68.9899,2010
44,360,69.8114,2010
45,360,66.8709,2010
46,360,63.6913,2010
47,360,65.0495,2010
48,360,64.9165,2010
49,360,61.364,2010
50,360,63.5317,2010
51,360,52.8743,2010
31,359,79.2731,2010
32,359,77.4328,2010
33,359,72.317,2010
36,359,72.93,2010
37,359,72.93,2010
38,359,72.8908,2010
39,359,70.8701,2010
40,359,69.7839,2010
41,359,72.7907,2010
42,359,83.3067,2010
43,359,76.532,2010
44,359,71.0872,2010
45,359,63.7962,2010
46,359,63.1536,2010
47,359,66.586,2010
48,359,69.9153,2010
49,359,68.5268,2010
50,359,63.9614,2010
51,359,55.6147,2010
30,358,94.3367,2010
31,358,82.921,2010
32,358,85.8072,2010
33,358,80.7514,2010
34,358,76.8895,2010
35,358,72.93,2010
36,358,72.93,2010
37,358,72.93,2010
38,358,71.1569,2010
39,358,64.3094,2010
40,358,71.4492,2010
41,358,75.59,2010
42,358,86.2436,2010
43,358,72.7433,2010
44,358,65.4895,2010
45,358,68.6067,2010
46,358,71.8904,2010
