xcord,ycord,biomass,year
39,364,64.2836,2010
40,364,70.8193,2010
41,364,71.7992,2010
42,364,69.3783,2010
43,364,64.7933,2010
44,364,72.5375,2010
45,364,63.1113,2010
37,363,67.8265,2010
38,363,64.1719,2010
39,363,70.3253,2010
40,363,70.0948,2010
41,363,76.1837,2010
42,363,64.3803,2010
43,363,66.7071,2010
44,363,73.5702,2010
45,363,74.0485,2010
46,363,58.9167,2010
37,362,68.6703,2010
38,362,69.1706,2010
39,362,74.1291,2010
40,362,68.2156,2010
41,362,68.4231,2010
42,362,74.0584,2010
43,362,64.7446,2010
44,362,63.671,2010
45,362,62.2644,2010
46,362,66.6727,2010
47,362,68.6245,2010
48,362,70.1356,2010
49,362,62.8026,2010
50,362,61.8597,2010
51,362,55.8305,2010
37,361,77.031,2010
38,361,71.6566,2010
39,361,68.5437,2010
40,361,65.3171,2010
41,361,68.4373,2010
42,361,65.6786,2010
43,361,68.4158,2010
44,361,72.6857,2010
45,361,66.8484,2010
46,361,60.9935,2010
47,361,64.0121,2010
48,361,58.7273,2010
49,361,58.6935,2010
50,361,60.8604,2010
51,361,51.7455,2010
37,360,70.4895,2010
38,360,70.2458,2010
39,360,74.655,2010
40,360,75.1973,2010
41,360,79.0803,2010
42,360,70.1341,2010
43,360,68.4988,2010
44,360,69.9102,2010
45,360,67.102,2010
46,360,63.8458,2010
47,360,64.6117,2010
48,360,64.4015,2010
49,360,61.8628,2010
50,360,64.1748,2010
51,360,53.2216,2010
31,359,78.6172,2010
32,359,76.4907,2010
33,359,71.03,2010
36,359,71.858,2010
37,359,71.858,2010
38,359,71.78,2010
39,359,69.8412,2010
40,359,69.0194,2010
41,359,71.8384,2010
42,359,82.0196,2010
43,359,75.6577,2010
44,359,70.588,2010
45,359,63.3411,2010
46,359,63.4373,2010
47,359,65.9273,2010
48,359,68.7429,2010
49,359,67.7439,2010
50,359,63.5813,2010
51,359,55.853,2010
30,358,92.7471,2010
31,358,81.7384,2010
32,358,84.2484,2010
33,358,79.1463,2010
34,358,75.206,2010
35,358,71.858,2010
36,358,71.858,2010
37,358,71.858,2010
38,358,70.1476,2010
39,358,63.7415,2010
40,358,70.5214,2010
41,358,74.6092,2010
42,358,84.2967,2010
43,358,71.9964,2010
44,358,65.0954,2010
45,358,68.1369,2010
46,358,71.3408,2010
47,358,71.3857,2010
48,358,71.8322,2010
49,358,82.7983,2010
50,358,81.8093,2010
51,358,68.0584,2010
52,358,57.3195,2010
53,358,54.0853,2010
30,357,85.2404,2010
31,357,85.1322,2010
32,357,87.3414,2010
33,357,82.7366,2010
34,357,74.2265,2010
35,357,72.3629,2010
37,357,71.858,2010
38,357,72.1932,2010
39,357,73.6186,2010
40,357,67.355,2010
41,357,73.9012,2010
42,357,82.4875,2010
43,357,74.2582,2010
44,357,71.9213,2010
45,357,73.2284,2010
46,357,76.4793,2010
47,357,72.4998,2010
48,357,81.3611,2010
49,357,74.0086,2010
50,357,69.8041,2010
51,357,77.7689,2010
52,357,73.9732,2010
53,357,59.9443,2010
54,357,55.6219,2010
30,356,85.2109,2010
31,356,82.5512,2010
32,356,86.38,2010
33,356,86.1606,2010
34,356,83.3976,2010
35,356,77.1383,2010
36,356,74.5811,2010
37,356,82.3165,2010
38,356,73.5279,2010
39,356,71.1128,2010
40,356,73.1344,2010
41,356,66.6731,2010
42,356,77.0634,2010
43,356,80.7705,2010
44,356,79.6517,2010
45,356,77.694,2010
46,356,69.2395,2010
47,356,74.2361,2010
48,356,79.3558,2010
49,356,80.8477,2010
50,356,80.2324,2010
51,356,77.8921,2010
52,356,70.8926,2010
53,356,73.654,2010
54,356,63.0297,2010
55,356,55.1291,2010
20,355,86.8058,2010
21,355,89.8483,2010
22,355,80.522,2010
23,355,87.1275,2010
24,355,86.4144,2010
25,355,81.0326,2010
30,355,82.9642,2010
31,355,79.7655,2010
32,355,80.1429,2010
33,355,88.5757,2010
34,355,87.5887,2010
35,355,85.6686,2010
36,355,75.5218,2010
37,355,75.9338,2010
38,355,72.0267,2010
39,355,74.4092,2010
40,355,70.4805,2010
41,355,67.9817,2010
42,355,81.5408,2010
43,355,82.8414,2010
44,355,75.5978,2010
45,355,71.8878,2010
46,355,64.6317,2010
47,355,70.0557,2010
48,355,86.5917,2010
49,355,87.8645,2010
50,355,83.6941,2010
51,355,78.2535,2010
52,355,73.044,2010
53,355,68.0815,2010
54,355,56.5273,2010
55,355,55.1975,2010
20,354,85.9128,2010
21,354,85.0087,2010
22,354,89.7032,2010
23,354,89.4291,2010
24,354,85.0015,2010
25,354,89.5245,2010
26,354,90.6754,2010
27,354,84.6379,2010
30,354,92.5381,2010
31,354,80.7205,2010
32,354,77.0251,2010
33,354,81.7419,2010
34,354,85.2892,2010
35,354,87.2444,2010
36,354,85.0789,2010
37,354,77.1926,2010
38,354,73.8913,2010
39,354,70.8321,2010
40,354,70.8382,2010
41,354,70.1562,2010
42,354,75.8258,2010
43,354,61.0718,2010
44,354,65.911,2010
45,354,67.1004,2010
46,354,69.2963,2010
47,354,66.5412,2010
48,354,74.2019,2010
49,354,80.6055,2010
50,354,80.7699,2010
51,354,80.9139,2010
52,354,71.7486,2010
53,354,74.3301,2010
54,354,82.4286,2010
55,354,53.607,2010
21,353,86.9157,2010
22,353,87.0926,2010
23,353,87.9455,2010
24,353,84.6461,2010
25,353,90.2215,2010
26,353,93.93,2010
27,353,92.0519,2010
28,353,85.9346,2010
29,353,94.7009,2010
30,353,96.1919,2010
31,353,92.1948,2010
32,353,85.7136,2010
33,353,76.1129,2010
34,353,74.9588,2010
35,353,80.1678,2010
36,353,80.4666,2010
37,353,73.9508,2010
38,353,71.1482,2010
39,353,73.6206,2010
40,353,71.8691,2010
41,353,69.545,2010
42,353,62.9284,2010
43,353,67.2625,2010
44,353,62.6453,2010
45,353,69.156,2010
46,353,64.2132,2010
47,353,60.7253,2010
48,353,71.0263,2010
49,353,60.6043,2010
50,353,67.1226,2010
51,353,72.8715,2010
52,353,71.5004,2010
53,353,70.254,2010
54,353,75.1981,2010
55,353,53.797,2010
56,353,55.903,2010
5,352,98.521,2010
20,352,92.2391,2010
21,352,88.565,2010
22,352,87.2145,2010
23,352,91.1263,2010
24,352,85.7513,2010
25,352,87.9019,2010
26,352,86.6096,2010
27,352,89.5939,2010
28,352,84.648,2010
29,352,87.8867,2010
30,352,86.9602,2010
31,352,83.5473,2010
32,352,82.0472,2010
33,352,78.3999,2010
34,352,74.2091,2010
35,352,75.5614,2010
36,352,67.283,2010
37,352,74.8188,2010
38,352,83.9713,2010
39,352,72.3673,2010
40,352,76.5406,2010
41,352,76.435,2010
42,352,75.9136,2010
43,352,77.1995,2010
44,352,79.5883,2010
45,352,68.2302,2010
46,352,79.5839,2010
47,352,59.56,2010
48,352,58.743,2010
49,352,60.1516,2010
50,352,63.6796,2010
51,352,72.5789,2010
52,352,66.0214,2010
53,352,67.2515,2010
54,352,66.3632,2010
55,352,64.2035,2010
56,352,60.4958,2010
57,352,54.9529,2010
