xcord,ycord,biomass,year
39,364,65.716,2010
40,364,72.3286,2010
41,364,73.617,2010
42,364,70.841,2010
43,364,66.1784,2010
44,364,74.1295,2010
45,364,64.1029,2010
37,363,69.2119,2010
38,363,65.6087,2010
39,363,72.1267,2010
40,363,71.7116,2010
41,363,77.8549,2010
42,363,65.577,2010
43,363,67.779,2010
44,363,75.0644,2010
45,363,76.0051,2010
46,363,60.7597,2010
37,362,70.2373,2010
38,362,70.7275,2010
39,362,75.462,2010
40,362,69.5565,2010
41,362,69.5949,2010
42,362,75.4107,2010
43,362,65.9777,2010
44,362,64.9939,2010
45,362,64.0711,2010
46,362,68.4894,2010
47,362,70.4313,2010
48,362,68.4105,2010
49,362,60.9945,2010
50,362,60.2038,2010
51,362,54.2023,2010
37,361,78.8048,2010
38,361,73.3198,2010
39,361,69.9349,2010
40,361,66.7054,2010
41,361,69.7705,2010
42,361,66.8445,2010
43,361,69.3809,2010
44,361,74.0144,2010
45,361,67.8337,2010
46,361,62.6093,2010
47,361,65.0548,2010
48,361,56.9286,2010
49,361,57.029,2010
50,361,59.4483,2010
51,361,50.3427,2010
37,360,71.8607,2010
38,360,71.71,2010
39,360,76.1933,2010
40,360,76.628,2010
41,360,80.4678,2010
42,360,71.2331,2010
43,360,70.0243,2010
44,360,70.4412,2010
45,360,67.5415,2010
46,360,64.4108,2010
47,360,65.6897,2010
48,360,64.9558,2010
49,360,61.1533,2010
50,360,62.8107,2010
51,360,51.7751,2010
31,359,79.5845,2010
32,359,77.7409,2010
33,359,72.773,2010
36,359,73.551,2010
37,359,73.551,2010
38,359,73.3333,2010
39,359,71.0676,2010
40,359,70.0827,2010
41,359,73.566,2010
42,359,83.9531,2010
43,359,77.1902,2010
44,359,72.0386,2010
45,359,64.8485,2010
46,359,64.0519,2010
47,359,67.1473,2010
48,359,70.5699,2010
49,359,69.3294,2010
50,359,64.4958,2010
51,359,55.3563,2010
30,358,94.6094,2010
31,358,83.1587,2010
32,358,85.9958,2010
33,358,80.7746,2010
34,358,77.0657,2010
35,358,73.551,2010
36,358,73.551,2010
37,358,73.551,2010
38,358,71.6478,2010
39,358,64.6879,2010
40,358,71.7197,2010
41,358,76.3486,2010
42,358,87.3569,2010
43,358,73.1803,2010
44,358,66.5003,2010
45,358,69.1328,2010
46,358,72.7758,2010
47,358,73.0795,2010
48,358,73.5511,2010
49,358,84.7852,2010
50,358,83.7834,2010
51,358,69.0238,2010
52,358,57.8534,2010
53,358,53.4229,2010
30,357,86.4779,2010
