xcord,ycord,zcord,carbon,year,plot,state,sizeclass,DBH,commonname,scientificname
320006.7386,4093108.486,2138.570068359375,0.052724376,2004,us3,Live,1,17.7,Sugar Pine,Pinus lambertiana
320003.4386,4093109.686,2139.179931640625,0.061037771,2004,us3,Live,1,18.8,Sugar Pine,Pinus lambertiana
319999.0886,4093108.836,2139.679931640625,0.013197209,2004,us3,Live,1,10,Sugar Pine,Pinus lambertiana
319976.4386,4093145.586,2143.610107421875,0.00607676,2004,us3,Live,1,7,White Fir,Abies concolor
319971.3886,4093142.536,2144.75,0.00768846,2004,us3,Live,1,8,Sugar Pine,Pinus lambertiana
319968.5386,4093121.986,2143.929931640625,0.049877756,2004,us3,Live,1,17.3,Sugar Pine,Pinus lambertiana
319971.3386,4093122.986,2144.050048828125,0.180905838,2004,us3,Live,2,29.4,Jeffrey Pine,Pinus jeffreyi
319986.2386,4093106.186,2142.56005859375,0.062626792,2004,us3,Dead,1,19,Jeffrey Pine,Pinus jeffreyi
319987.7386,4093107.986,2142.199951171875,0.058426934,2004,us3,Live,1,17.5,White Fir,Abies concolor
319995.3386,4093109.786,2140.909912109375,0.723974449,2004,us3,Live,3,52,Sugar Pine,Pinus lambertiana
319975.1386,4093129.686,2144,0.079312763,2004,us3,Dead,1,19.8,White Fir,Abies concolor
319977.2386,4093133.186,2143.590087890625,0.046561788,2004,us3,Dead,1,17.2,Incense Cedar,Calocedrus decurrens
319977.9386,4093135.086,2143.4599609375,0.003076899,2004,us3,Dead,1,5,Incense Cedar,Calocedrus decurrens
319977.1386,4093134.386,2143.570068359375,0.215571928,2004,us3,Live,2,33.1,Incense Cedar,Calocedrus decurrens
319983.2386,4093138.286,2142.679931640625,0.035278464,2004,us3,Dead,1,15,Sugar Pine,Pinus lambertiana
319983.3386,4093136.886,2142.719970703125,0.034076991,2004,us3,Live,1,14.6,Incense Cedar,Calocedrus decurrens
319981.8386,4093136.886,2142.820068359375,0.070799234,2004,us3,Live,2,20.2,Incense Cedar,Calocedrus decurrens
319980.3386,4093137.536,2143.070068359375,0.003162716,2004,us3,Dead,1,5.3,Incense Cedar,Calocedrus decurrens
319980.3386,4093140.186,2143.090087890625,0.010916737,2004,us3,Live,1,8.8,Incense Cedar,Calocedrus decurrens
319979.5386,4093140.636,2143.010009765625,0.043272015,2004,us3,Live,1,15.5,White Fir,Abies concolor
319979.9386,4093142.086,2142.949951171875,0.013902191,2004,us3,Live,1,9.8,Incense Cedar,Calocedrus decurrens
319981.6386,4093141.586,2142.68994140625,0.495657574,2004,us3,Live,3,44.5,Sugar Pine,Pinus lambertiana
319982.0386,4093140.886,2142.719970703125,0.010386711,2004,us3,Live,1,8.7,White Fir,Abies concolor
319982.3386,4093141.186,2142.719970703125,0.002688941,2004,us3,Dead,1,5.4,Sugar Pine,Pinus lambertiana
319984.6386,4093141.486,2142.5,0.054920694,2004,us3,Dead,1,18,Sugar Pine,Pinus lambertiana
319984.3386,4093142.486,2142.570068359375,0.00607676,2004,us3,Dead,1,7,White Fir,Abies concolor
319984.9886,4093143.736,2142.6298828125,0.004506957,2004,us3,Live,1,6.2,White Fir,Abies concolor
319987.8386,4093143.886,2142.469970703125,0.008445338,2004,us3,Dead,1,8,White Fir,Abies concolor
319985.6386,4093145.886,2142.679931640625,10.79908502,2004,us3,Live,6,187.4,Incense Cedar,Calocedrus decurrens
320027.2386,4093148.286,2145.77001953125,0.003989161,2004,us3,Live,1,5.9,White Fir,Abies concolor
320025.8386,4093149.186,2145.449951171875,0.012244928,2004,us3,Live,1,9.3,White Fir,Abies concolor
320019.5386,4093143.386,2142.47998046875,0.00674423,2004,us3,Live,1,7.1,Incense Cedar,Calocedrus decurrens
320018.5836,4093141.656,2142.22998046875,11.56914873,2004,us3,Dead,6,150.5,White Fir,Abies concolor
320025.5386,4093124.486,2140.719970703125,0.023596293,2004,us3,Live,1,12.4,Incense Cedar,Calocedrus decurrens
320012.6386,4093115.886,2138.9599609375,0.077201726,2004,us3,Dead,2,21.5,Incense Cedar,Calocedrus decurrens
320003.4886,4093112.136,2139.77001953125,5.680512241,2004,us3,Dead,6,113,White Fir,Abies concolor
320001.5386,4093113.986,2139.820068359375,8.213808275,2004,us3,Dead,6,131.1,White Fir,Abies concolor
320003.9386,4093113.836,2139.64990234375,5.475757721,2004,us3,Dead,6,117.6,White Fir,Abies concolor
