xcord,ycord,zcord,carbon,year,plot,state,sizeclass,DBH,commonname,scientificname
320390.2675,4092109.148,2013.3499755859375,0.014853399,2004,bn2,Dead,1,10.5,Sugar Pine,Pinus lambertiana
320307.9275,4092101.648,2032.760009765625,0.616305445,2004,bn2,Live,3,45.3,White Fir,Abies concolor
320328.9375,4092100.298,2027.6500244140625,0.028669378,2004,bn2,Live,1,11.2,California Black Oak,Quercus kelloggii
320328.9375,4092100.838,2027.5799560546875,0.014705586,2004,bn2,Live,1,8.5,California Black Oak,Quercus kelloggii
320328.8875,4092101.638,2027.5400390625,0.016885662,2004,bn2,Live,1,9,California Black Oak,Quercus kelloggii
320326.2475,4092144.618,2028.3399658203125,0.150578617,2004,bn2,Dead,2,28,White Fir,Abies concolor
320312.8775,4092157.218,2030.550048828125,0.015596899,2004,bn2,Dead,1,11.5,N/A,N/A
320307.6475,4092152.988,2032.030029296875,0.020687035,2004,bn2,Live,1,11.5,White Fir,Abies concolor
320306.1375,4092149.758,2033.0400390625,0.002655783,2004,bn2,Live,1,5,White Fir,Abies concolor
320485.4375,4092019.068,1983.7900390625,6.802082847,2004,bn2,Live,6,119.3,White Fir,Abies concolor
320384.9975,4092013.658,2018.030029296875,0.005006753,2004,bn2,Dead,1,6.7,White Fir,Abies concolor
320371.2475,4092028.868,2025.0799560546875,0.048386867,2004,bn2,Dead,1,13.9,California Black Oak,Quercus kelloggii
320371.1875,4092029.068,2025.0799560546875,0.016885662,2004,bn2,Dead,1,9,California Black Oak,Quercus kelloggii
320346.2275,4092017.028,2027.5899658203125,0.220942923,2004,bn2,Dead,2,32.6,White Fir,Abies concolor
320336.5275,4092021.448,2027.4200439453125,0.767808483,2004,bn2,Live,3,49.5,White Fir,Abies concolor
320390.2675,4092111.728,2013.3299560546875,0.074131947,2004,bn2,Dead,1,19.7,White Fir,Abies concolor
320390.1375,4092111.938,2013.3299560546875,0.004638308,2004,bn2,Dead,1,6.5,White Fir,Abies concolor
320369.2075,4092123.358,2017.6800537109375,0.325049273,2004,bn2,Dead,2,40,N/A,N/A
320362.2775,4092120.728,2019.31005859375,0.048268624,2004,bn2,Live,1,16.2,White Fir,Abies concolor
320345.3375,4092113.388,2023.5699462890625,0.008187395,2004,bn2,Live,1,7.9,White Fir,Abies concolor
320477.0275,4092147.928,2017.18994140625,0.047687957,2004,bn2,Dead,1,16.5,White Fir,Abies concolor
320480.8175,4092153.778,2020.489990234375,0.008975629,2004,bn2,Dead,1,8.2,White Fir,Abies concolor
320470.4475,4092144.468,2013.989990234375,0.8979821,2004,bn2,Dead,3,60,N/A,N/A
320466.9875,4092140.208,2012.4100341796875,5.422742046,2004,bn2,Dead,6,135,Pine,Pinus spp.
320467.5775,4092142.688,2012.8900146484375,0.031887076,2004,bn2,Dead,1,13.7,White Fir,Abies concolor
320469.8175,4092136.538,2014.06005859375,0.51094268,2004,bn2,Live,3,42,White Fir,Abies concolor
320448.5475,4092151.778,2010.8199462890625,0.163225868,2004,bn2,Dead,2,26.5,White Fir,Abies concolor
320448.5075,4092149.548,2011.050048828125,2.643795445,2004,bn2,Dead,5,95.5,Sugar Pine,Pinus lambertiana
320436.0875,4092143.018,2014.3399658203125,0.745507472,2004,bn2,Dead,3,55.7,N/A,N/A
320441.3375,4092150.118,2014.4599609375,0.918049228,2004,bn2,Live,3,53.2,White Fir,Abies concolor
320439.0275,4092147.558,2014.9599609375,0.245965631,2004,bn2,Dead,2,35.8,White Fir,Abies concolor
320434.7775,4092149.643,2016.219970703125,1.237047097,2004,bn2,Live,3,60,White Fir,Abies concolor
320432.2675,4092150.058,2016.6099853515625,0.043272015,2004,bn2,Dead,1,15.5,White Fir,Abies concolor
320425.5575,4092151.288,2017.3800048828125,0.419824288,2004,bn2,Live,2,38.8,White Fir,Abies concolor
320430.2075,4092060.338,2000.9100341796875,0.093928482,2004,bn2,Live,2,21.2,White Fir,Abies concolor
320413.6075,4092150.108,2017.8199462890625,10.49114348,2004,bn2,Dead,6,156,Sugar Pine,Pinus lambertiana
320416.0575,4092152.728,2018.199951171875,0.015547005,2004,bn2,Dead,1,10.3,Incense Cedar,Calocedrus decurrens
320412.5175,4092151.518,2018.239990234375,0.287441111,2004,bn2,Dead,2,33.3,White Fir,Abies concolor
320411.4975,4092151.238,2018.300048828125,0.081310767,2004,bn2,Dead,1,20,White Fir,Abies concolor
320406.0975,4092152.548,2019.3599853515625,0.129025336,2004,bn2,Live,2,24.1,White Fir,Abies concolor
320407.8875,4092152.248,2018.9100341796875,0.309307379,2004,bn2,Dead,2,34.3,White Fir,Abies concolor
320407.9075,4092151.138,2018.9000244140625,0.507932656,2004,bn2,Dead,3,41.9,White Fir,Abies concolor
320403.7275,4092150.398,2019.9000244140625,0.013934835,2004,bn2,Dead,1,9.8,White Fir,Abies concolor
320403.0875,4092150.678,2020.199951171875,0.004116516,2004,bn2,Dead,1,6.2,White Fir,Abies concolor
320401.2375,4092150.378,2020.72998046875,0.066147577,2004,bn2,Dead,1,18.4,White Fir,Abies concolor
320400.7075,4092154.088,2020.6600341796875,0.005062932,2004,bn2,Dead,1,6.5,White Fir,Abies concolor
320399.8775,4092154.208,2020.93994140625,0.126389836,2004,bn2,Dead,2,23.9,White Fir,Abies concolor
320399.6475,4092153.568,2020.93994140625,0.01538167,2004,bn2,Dead,1,10.2,White Fir,Abies concolor
320393.4875,4092141.738,2021.1099853515625,0.004873311,2004,bn2,Dead,1,6.4,White Fir,Abies concolor
320392.2075,4092151.888,2023.0999755859375,0.00477848,2004,bn2,Dead,1,7.3,White Fir,Abies concolor
320395.4675,4092154.408,2022.449951171875,0.113695821,2004,bn2,Dead,2,22.9,White Fir,Abies concolor
320394.1175,4092154.598,2022.8399658203125,0.398696976,2004,bn2,Live,2,38,White Fir,Abies concolor
320392.9475,4092155.058,2023.0899658203125,0.054382707,2004,bn2,Live,1,17,White Fir,Abies concolor
320388.2475,4092152.418,2023.56005859375,0.011481764,2004,bn2,Dead,1,9,Incense Cedar,Calocedrus decurrens
320387.9475,4092153.448,2023.719970703125,4.955672261,2004,bn2,Live,6,105,White Fir,Abies concolor
320382.1975,4092155.578,2024.3499755859375,0.033641657,2004,bn2,Live,1,14,White Fir,Abies concolor
320381.3125,4092154.458,2023.93994140625,4.293475662,2004,bn2,Live,5,99.1,White Fir,Abies concolor
320369.7475,4092155.408,2023.760009765625,0.183784876,2004,bn2,Live,2,27.8,White Fir,Abies concolor
320364.0975,4092152.158,2022.469970703125,0.032009622,2004,bn2,Dead,1,16,White Fir,Abies concolor
320347.2575,4092156.548,2023.27001953125,0.009419035,2004,bn2,Live,1,8.7,Sugar Pine,Pinus lambertiana
320346.8375,4092157.358,2023.27001953125,0.00607676,2004,bn2,Live,1,7,White Fir,Abies concolor
320346.7375,4092156.998,2023.27001953125,0.0772752,2004,bn2,Live,2,21,Incense Cedar,Calocedrus decurrens
320346.0375,4092156.688,2023.06005859375,0.003356606,2004,bn2,Live,1,5.5,White Fir,Abies concolor
320357.4675,4092139.688,2019.06005859375,0.040578592,2004,bn2,Dead,1,18.5,Sugar Pine,Pinus lambertiana
320338.4375,4092156.158,2023.699951171875,2.291800004,2004,bn2,Live,5,83.5,Sugar Pine,Pinus lambertiana
320341.7275,4092157.608,2019.665,0.065261397,2004,bn2,Live,1,18.3,White Fir,Abies concolor
320420.4375,4092089.438,2005.0899658203125,0.006738757,2004,bn2,Live,1,7.3,White Fir,Abies concolor
320448.6575,4092082.638,2001.780029296875,0.003895909,2004,bn2,Live,1,5.5,Willow,Salix spp.
320434.4875,4092073.788,1999.260009765625,0.003499206,2004,bn2,Dead,1,6.7,Sugar Pine,Pinus lambertiana
320437.0475,4092073.418,1998.739990234375,0.006902495,2004,bn2,Dead,1,7.9,Sugar Pine,Pinus lambertiana
320434.4975,4092076.568,2000.699951171875,0.006010816,2004,bn2,Dead,1,7,Incense Cedar,Calocedrus decurrens
320427.3875,4092077.038,2000.9100341796875,0.00674423,2004,bn2,Dead,1,7.1,Incense Cedar,Calocedrus decurrens
320427.0275,4092075.598,2000.6099853515625,0.002924375,2004,bn2,Live,1,5.2,White Fir,Abies concolor
320383.0875,4092089.788,2015.739990234375,0.006213571,2004,bn2,Dead,1,7.3,White Fir,Abies concolor
320375.3875,4092086.088,2017.8499755859375,1.41666313,2004,bn2,Dead,4,78,Sugar Pine,Pinus lambertiana
320473.5475,4092041.718,1987.8399658203125,0.068065082,2004,bn2,Dead,1,16,California Black Oak,Quercus kelloggii
320483.8275,4091962.468,1978.6099853515625,1.159172561,2004,bn2,Live,4,63.1,Jeffrey Pine,Pinus jeffreyi
320480.7625,4091958.693,1979.4200439453125,1.380583305,2004,bn2,Live,4,67.8,Jeffrey Pine,Pinus jeffreyi
320469.3175,4091973.448,1985.68994140625,0.019711006,2004,bn2,Dead,1,11.8,Sugar Pine,Pinus lambertiana
320462.9175,4091958.848,1986.449951171875,0.010094627,2004,bn2,Live,1,8.6,White Fir,Abies concolor
320467.0375,4091960.818,1985.6600341796875,0.31828302,2004,bn2,Live,2,30.2,California Black Oak,Quercus kelloggii
320464.9175,4091961.693,1986.22998046875,2.251931045,2004,bn2,Live,5,82.9,Jeffrey Pine,Pinus jeffreyi
320465.4775,4091962.263,1986.22998046875,0.944272746,2004,bn2,Live,3,58,Jeffrey Pine,Pinus jeffreyi
320465.5675,4091965.093,1986.1300048828125,2.525562296,2004,bn2,Live,5,86.9,Jeffrey Pine,Pinus jeffreyi
320397.2575,4091998.608,2013.010009765625,0.272107466,2004,bn2,Live,2,36.7,Incense Cedar,Calocedrus decurrens
320394.9275,4092003.868,2014.27001953125,0.019739372,2004,bn2,Live,1,9.6,California Black Oak,Quercus kelloggii
320359.3275,4091999.588,2023.949951171875,0.002788147,2004,bn2,Live,1,5.1,White Fir,Abies concolor
320350.3275,4092001.958,2024.8299560546875,0.009807505,2004,bn2,Live,1,8.5,White Fir,Abies concolor
320320.6475,4091992.508,2020.8299560546875,0.041224052,2004,bn2,Dead,1,16.8,White Fir,Abies concolor
