xcord,ycord,zcord,carbon,year,plot,state,sizeclass,DBH,commonname,scientificname
320259.4411,4091890.097,2021.7099609375,0.043667763,2004,bs2,Live,1,16.3,Incense Cedar,Calocedrus decurrens
320256.7411,4091927.897,2019.949951171875,0.009807505,2004,bs2,Dead,1,8.5,White Fir,Abies concolor
320254.6411,4091907.097,2021.280029296875,2.815841666,2004,bs2,Live,5,83.6,White Fir,Abies concolor
320270.6201,4091878.45,2021.219970703125,0.063400161,2004,bs2,Dead,1,18.5,White Fir,Abies concolor
320269.4101,4091900.1,2023.209,0.028926344,2004,bs2,Dead,1,13.5,White Fir,Abies concolor
320269.0101,4091899.9,2023.209,0.08333852,2004,bs2,Dead,2,20.2,White Fir,Abies concolor
320275.1001,4091902.85,2020.010009765625,0.015011949,2004,bs2,Dead,1,10.1,White Fir,Abies concolor
320275.1001,4091900.85,2020.3800048828125,0.065390688,2004,bs2,Dead,1,19.5,Incense Cedar,Calocedrus decurrens
320269.8901,4091917.27,2019.969970703125,0.093928482,2004,bs2,Dead,2,21.2,White Fir,Abies concolor
320269.1601,4091917.9,2022.339,0.164755817,2004,bs2,Live,2,26.6,White Fir,Abies concolor
320269.6601,4091915.38,2020.22998046875,0.058405689,2004,bs2,Dead,1,17.9,White Fir,Abies concolor
320269.0701,4091915.16,2022.439,0.010094627,2004,bs2,Dead,1,8.6,White Fir,Abies concolor
320268.7401,4091914.77,2022.579,0.041903941,2004,bs2,Dead,1,15.3,White Fir,Abies concolor
320277.6701,4091918.23,2018,0.021587455,2004,bs2,Dead,1,11.7,White Fir,Abies concolor
320256.1411,4091886.197,2021.06005859375,0.212896315,2004,bs2,Live,2,29.5,White Fir,Abies concolor
320258.7411,4091890.497,2021.7099609375,0.074809679,2004,bs2,Live,2,20.7,Incense Cedar,Calocedrus decurrens
320261.1411,4091930.697,2019.5,0.05127126,2004,bs2,Live,1,16.6,White Fir,Abies concolor
320254.4411,4091924.597,2020.22998046875,0.008187395,2004,bs2,Dead,1,7.9,White Fir,Abies concolor
320261.5411,4091925.947,2023.879,0.650475093,2004,bs2,Live,3,54,Incense Cedar,Calocedrus decurrens
320259.0411,4091916.697,2020.81005859375,0.01538167,2004,bs2,Live,1,10.2,White Fir,Abies concolor
320255.5411,4091917.197,2020.800048828125,0.011293003,2004,bs2,Live,1,9,White Fir,Abies concolor
320255.8411,4091905.597,2021.300048828125,0.029086524,2004,bs2,Live,1,13.2,White Fir,Abies concolor
320260.7911,4091903.447,2021.239990234375,0.957037173,2004,bs2,Live,3,54.1,White Fir,Abies concolor
320258.3411,4091900.897,2021.3499755859375,0.008708073,2004,bs2,Live,1,8.1,White Fir,Abies concolor
320258.9411,4091898.997,2021.4200439453125,0.004506957,2004,bs2,Live,1,6.2,White Fir,Abies concolor
320257.3411,4091898.197,2021.3399658203125,0.04780364,2004,bs2,Live,1,17,Sugar Pine,Pinus lambertiana
320257.3411,4091898.897,2021.3599853515625,0.168844125,2004,bs2,Dead,2,29.3,N/A,N/A
320210.3511,4091962.057,2019.699951171875,0.009248034,2004,bs2,Dead,1,8.3,White Fir,Abies concolor
320210.3511,4091961.057,2019.6199951171875,0.008708073,2004,bs2,Dead,1,8.1,White Fir,Abies concolor
320210.2511,4091960.057,2019.4300537109375,0.01853536,2004,bs2,Dead,1,11,White Fir,Abies concolor
320227.8711,4091957.017,2018.7900390625,0.832093337,2004,bs2,Dead,3,58.2,White Fir,Abies concolor
320215.5911,4091991.757,2022.6600341796875,2.017333942,2004,bs2,Dead,4,78.8,N/A,N/A
320211.6411,4091994.277,2023.3199462890625,4.516635466,2004,bs2,Dead,6,114.6,White Fir,Abies concolor
320188.4811,4091998.837,2024.300048828125,0.858992643,2004,bs2,Dead,3,56,White Fir,Abies concolor
320171.9511,4091999.007,2025.4100341796875,0.113745862,2004,bs2,Dead,2,28,Jeffrey Pine,Pinus jeffreyi
320201.8411,4092051.577,2031.47998046875,0.141289597,2004,bs2,Dead,2,25,White Fir,Abies concolor
320189.8111,4092047.377,2030.6199951171875,0.19716626,2004,bs2,Live,2,28.6,White Fir,Abies concolor
320195.5611,4092038.267,2029.219970703125,0.050580689,2004,bs2,Dead,1,17.4,Sugar Pine,Pinus lambertiana
320192.7411,4092035.017,2028.9200439453125,0.118648425,2004,bs2,Live,2,25.4,Incense Cedar,Calocedrus decurrens
320193.7511,4092036.857,2029.0799560546875,0.043066793,2004,bs2,Live,1,16.2,Incense Cedar,Calocedrus decurrens
320192.0111,4092036.677,2029.1600341796875,10.2961322,2004,bs2,Live,6,141,White Fir,Abies concolor
320206.1911,4092021.117,2026.9100341796875,0.109380343,2004,bs2,Live,2,24.5,Incense Cedar,Calocedrus decurrens
320209.4011,4092009.697,2025.2900390625,2.278546,2004,bs2,Dead,5,87.1,N/A,N/A
320209.7811,4092007.887,2024.9100341796875,5.398087477,2004,bs2,Dead,6,123.1,N/A,N/A
320195.8811,4092014.187,2026.22998046875,0.008651999,2004,bs2,Dead,1,8.4,Sugar Pine,Pinus lambertiana
320143.8311,4092025.687,2027.7900390625,0.171394544,2004,bs2,Live,2,29.9,Incense Cedar,Calocedrus decurrens
320138.1411,4091992.847,2021.739990234375,12.63806265,2004,bs2,Live,6,168.4,Jeffrey Pine,Pinus jeffreyi
320132.4411,4091999.397,2021.7099609375,0.013586394,2004,bs2,Live,1,9.7,White Fir,Abies concolor
320138.3411,4092002.397,2023.0799560546875,0.056788452,2004,bs2,Live,1,17.3,White Fir,Abies concolor
320138.8411,4092003.097,2023.4100341796875,0.029463435,2004,bs2,Dead,1,13.6,White Fir,Abies concolor
320140.7411,4092002.697,2023.6700439453125,0.049009151,2004,bs2,Dead,1,16.3,White Fir,Abies concolor
320136.2411,4092004.197,2023.260009765625,0.023457481,2004,bs2,Dead,1,12.1,White Fir,Abies concolor
320134.2411,4092005.097,2023.199951171875,0.602559613,2004,bs2,Live,3,52.2,Incense Cedar,Calocedrus decurrens
320123.1411,4092002.197,2021.43994140625,1.53756179,2004,bs2,Live,4,65.5,White Fir,Abies concolor
320114.6911,4092005.197,2021.1099853515625,0.882223328,2004,bs2,Dead,4,64.3,Sugar Pine,Pinus lambertiana
320111.3411,4092004.197,2020.300048828125,0.008708073,2004,bs2,Dead,1,8.1,White Fir,Abies concolor
