xcord,ycord,zcord,carbon,year,plot,state,sizeclass,DBH,commonname,scientificname
320412.8844,4092804.838,2116.39990234375,0.041261202,2004,uc3,Live,1,16,Jeffrey Pine,Pinus jeffreyi
320414.2844,4092804.538,2116.179931640625,0.055286679,2004,uc3,Live,1,18.1,Incense Cedar,Calocedrus decurrens
320413.7844,4092804.438,2116.239990234375,0.066148687,2004,uc3,Live,1,19.6,Incense Cedar,Calocedrus decurrens
320415.2844,4092801.038,2115.800048828125,0.012244928,2004,uc3,Live,1,9.3,White Fir,Abies concolor
320416.9844,4092800.238,2115.409912109375,0.034136993,2004,uc3,Dead,1,15,Incense Cedar,Calocedrus decurrens
320424.5844,4092798.038,2114.22998046875,0.010683783,2004,uc3,Live,1,8.8,White Fir,Abies concolor
320422.9844,4092798.738,2114.6201171875,0.005865127,2004,uc3,Live,1,6.9,White Fir,Abies concolor
320420.8844,4092797.438,2114.760009765625,0.081483691,2004,uc3,Live,2,21.5,Incense Cedar,Calocedrus decurrens
320420.3844,4092797.738,2114.93994140625,0.081483691,2004,uc3,Live,2,21.5,Incense Cedar,Calocedrus decurrens
320419.7844,4092795.238,2114.719970703125,0.002788147,2004,uc3,Dead,1,5.1,White Fir,Abies concolor
320419.8844,4092797.238,2114.8798828125,0.011197263,2004,uc3,Live,1,8.9,Incense Cedar,Calocedrus decurrens
320416.3844,4092795.038,2115.320068359375,0.010098887,2004,uc3,Live,1,8.5,Incense Cedar,Calocedrus decurrens
320417.2844,4092794.038,2115.110107421875,0.036214815,2004,uc3,Live,1,15,Incense Cedar,Calocedrus decurrens
320417.3844,4092793.438,2115.110107421875,0.110389409,2004,uc3,Live,2,24.6,Incense Cedar,Calocedrus decurrens
320417.9844,4092793.438,2114.949951171875,0.062407288,2004,uc3,Live,1,19.1,Incense Cedar,Calocedrus decurrens
320411.7344,4092759.188,2111.590087890625,0.019308424,2004,uc3,Live,1,11.7,Sugar Pine,Pinus lambertiana
320408.1844,4092752.038,2111.02001953125,0.028544779,2004,uc3,Live,1,13.1,White Fir,Abies concolor
320406.9844,4092755.238,2111.47998046875,0.054382707,2004,uc3,Live,1,17,White Fir,Abies concolor
320407.2844,4092753.688,2111.3798828125,7.702133013,2004,uc3,Live,6,137.4,Sugar Pine,Pinus lambertiana
320409.1844,4092766.738,2112.800048828125,0.063510397,2004,uc3,Live,1,18.1,White Fir,Abies concolor
320414.6844,4092770.738,2112.419921875,0.013197209,2004,uc3,Dead,1,10,Sugar Pine,Pinus lambertiana
320416.7844,4092768.438,2111.669921875,0.078324872,2004,uc3,Live,1,19.7,White Fir,Abies concolor
320416.7844,4092769.238,2111.860107421875,0.07161536,2004,uc3,Live,1,19,White Fir,Abies concolor
320410.0844,4092779.438,2114.389892578125,6.982804976,2004,uc3,Live,6,154.5,Incense Cedar,Calocedrus decurrens
320410.2844,4092773.138,2113.610107421875,0.012566833,2004,uc3,Live,1,9.8,Sugar Pine,Pinus lambertiana
320413.8844,4092774.138,2113.10009765625,0.045118535,2004,uc3,Live,1,16.6,Sugar Pine,Pinus lambertiana
320416.2844,4092776.838,2113.610107421875,0.093928482,2004,uc3,Live,2,21.2,White Fir,Abies concolor
320411.1844,4092794.338,2115.909912109375,0.096137696,2004,uc3,Live,2,21.4,White Fir,Abies concolor
320409.8844,4092794.038,2115.89990234375,0.010094627,2004,uc3,Live,1,8.6,White Fir,Abies concolor
320406.4844,4092805.338,2117.320068359375,0.036760619,2004,uc3,Live,1,15.1,Incense Cedar,Calocedrus decurrens
320403.0844,4092801.638,2117.4599609375,0.006533158,2004,uc3,Dead,1,7,Incense Cedar,Calocedrus decurrens
320405.2844,4092802.438,2117.27001953125,0.036214815,2004,uc3,Dead,1,15,Incense Cedar,Calocedrus decurrens
320400.4844,4092799.438,2117.679931640625,0.163477761,2004,uc3,Live,2,28.2,Sugar Pine,Pinus lambertiana
320400.9844,4092790.838,2116.830078125,0.00607676,2004,uc3,Live,1,7,White Fir,Abies concolor
320400.8844,4092789.738,2116.75,0.013243209,2004,uc3,Live,1,9.6,White Fir,Abies concolor
320401.5844,4092790.138,2116.669921875,0.011481764,2004,uc3,Live,1,9,Incense Cedar,Calocedrus decurrens
320401.7844,4092791.538,2116.719970703125,0.009316382,2004,uc3,Live,1,8.2,Incense Cedar,Calocedrus decurrens
320402.2844,4092791.238,2116.699951171875,0.078324872,2004,uc3,Live,1,19.7,White Fir,Abies concolor
320394.3844,4092808.138,2119.56005859375,0.094860724,2004,uc3,Live,2,23,Incense Cedar,Calocedrus decurrens
320400.8844,4092781.238,2115.60009765625,0.445701948,2004,uc3,Dead,3,43.1,White Fir,Abies concolor
320442.7844,4092686.338,2099.570068359375,0.134394077,2004,uc3,Live,2,24.5,White Fir,Abies concolor
320339.8244,4092781.978,2128.72998046875,15.94810548,2004,uc3,Live,6,168.2,White Fir,Abies concolor
320357.3544,4092764.918,2123.2900390625,0.085518551,2004,uc3,Live,2,21.6,Jeffrey Pine,Pinus jeffreyi
320407.3644,4092724.898,2110.719970703125,2.311153892,2004,uc3,Live,4,77.2,White Fir,Abies concolor
320393.3944,4092745.498,2114.320068359375,0.030748402,2004,uc3,Live,1,13.5,White Fir,Abies concolor
320407.9144,4092735.458,2110.7099609375,0.138506664,2004,uc3,Live,2,24.8,White Fir,Abies concolor
320404.7044,4092728.538,2111.27001953125,0.002655783,2004,uc3,Dead,1,5,White Fir,Abies concolor
320386.6644,4092722.158,2114.820068359375,0.006738757,2004,uc3,Live,1,7.3,White Fir,Abies concolor
320391.3644,4092712.318,2113.35009765625,7.620626647,2004,uc3,Dead,6,127.2,White Fir,Abies concolor
320383.7744,4092716.128,2115.219970703125,0.020687035,2004,uc3,Live,1,11.5,White Fir,Abies concolor
320380.5944,4092712.398,2115.60009765625,0.002900157,2004,uc3,Dead,1,5.4,White Fir,Abies concolor
320379.8944,4092712.428,2115.780029296875,0.007934217,2004,uc3,Live,1,7.8,White Fir,Abies concolor
320379.4244,4092712.048,2115.989990234375,0.006292889,2004,uc3,Live,1,7.1,White Fir,Abies concolor
320379.0544,4092712.518,2116.10009765625,0.019809425,2004,uc3,Live,1,11.3,White Fir,Abies concolor
320377.3144,4092713.888,2116.5400390625,0.131693373,2004,uc3,Live,2,24.3,White Fir,Abies concolor
320375.9844,4092716.928,2116.889892578125,0.013934835,2004,uc3,Live,1,9.8,White Fir,Abies concolor
320373.8444,4092708.988,2116.68994140625,0.167841318,2004,uc3,Live,2,26.8,White Fir,Abies concolor
320372.4944,4092709.058,2117.06005859375,0.033050559,2004,uc3,Live,1,13.9,White Fir,Abies concolor
320372.9344,4092707.438,2116.739990234375,0.074446963,2004,uc3,Live,1,19.3,White Fir,Abies concolor
320374.8444,4092703.198,2115.989990234375,0.00607676,2004,uc3,Dead,1,7,White Fir,Abies concolor
320379.7744,4092704.448,2115.070068359375,0.055979625,2004,uc3,Live,1,17.2,White Fir,Abies concolor
320380.4644,4092703.408,2114.919921875,0.009807505,2004,uc3,Live,1,8.5,White Fir,Abies concolor
320380.8644,4092703.068,2114.75,0.038597839,2004,uc3,Live,1,14.8,White Fir,Abies concolor
320383.3144,4092703.838,2114.409912109375,0.009807505,2004,uc3,Live,1,8.5,White Fir,Abies concolor
320383.1744,4092703.408,2114.330078125,0.131693373,2004,uc3,Live,2,24.3,White Fir,Abies concolor
320383.9844,4092702.538,2114.159912109375,0.005062932,2004,uc3,Live,1,6.5,White Fir,Abies concolor
320378.7644,4092696.258,2114.68994140625,19.67935539,2004,uc3,Live,6,202,Sugar Pine,Pinus lambertiana
320369.8444,4092706.848,2117.330078125,0.100648458,2004,uc3,Live,2,21.8,White Fir,Abies concolor
320385.5744,4092666.178,2110.070068359375,1.042546272,2004,uc3,Live,3,56,White Fir,Abies concolor
320380.7044,4092664.558,2110.929931640625,0.003076899,2004,uc3,Dead,1,5,Incense Cedar,Calocedrus decurrens
320378.6944,4092666.478,2111.39990234375,0.030748402,2004,uc3,Live,1,13.5,White Fir,Abies concolor
320377.6544,4092665.848,2111.56005859375,0.017311535,2004,uc3,Live,1,10.7,White Fir,Abies concolor
320377.5844,4092665.078,2111.3701171875,0.004687996,2004,uc3,Live,1,6.3,White Fir,Abies concolor
320371.9644,4092671.428,2113.489990234375,0.003356606,2004,uc3,Live,1,5.5,White Fir,Abies concolor
320371.3244,4092671.768,2113.7900390625,0.023939538,2004,uc3,Live,1,12.2,White Fir,Abies concolor
320370.4744,4092670.348,2113.739990234375,7.272779108,2004,uc3,Live,6,134.2,Sugar Pine,Pinus lambertiana
320370.0444,4092673.928,2114.179931640625,0.016137289,2004,uc3,Live,1,10.4,White Fir,Abies concolor
320368.2344,4092674.118,2114.510009765625,0.096137696,2004,uc3,Live,2,21.4,White Fir,Abies concolor
320365.0244,4092673.068,2114.89990234375,0.005256893,2004,uc3,Live,1,6.6,White Fir,Abies concolor
320361.0744,4092671.128,2115.489990234375,0.097253819,2004,uc3,Live,2,21.5,White Fir,Abies concolor
320363.4344,4092669.858,2115.06005859375,0.012905254,2004,uc3,Live,1,9.5,White Fir,Abies concolor
320365.9344,4092669.178,2114.340087890625,0.062645541,2004,uc3,Live,1,18,White Fir,Abies concolor
