xcord,ycord,zcord,carbon,year,plot,state,sizeclass,DBH,commonname,scientificname
319840.6534,4092045.856,2017.7099609375,0.008445338,2004,un1,Live,1,8,White Fir,Abies concolor
319876.9134,4092044.756,2011.2900390625,0.658093319,2004,un1,Live,3,50,Sugar Pine,Pinus lambertiana
319858.7934,4092054.736,2014.489990234375,5.073561471,2004,un1,Live,6,106,White Fir,Abies concolor
319857.6634,4092054.816,2014.56005859375,0.37319827,2004,un1,Live,2,37,White Fir,Abies concolor
319856.6634,4092055.126,2014.6400146484375,3.789883918,2004,un1,Dead,5,96,White Fir,Abies concolor
319856.1034,4092048.066,2014.1800537109375,0.011293003,2004,un1,Live,1,9,White Fir,Abies concolor
319858.2534,4092045.226,2013.18994140625,0.00607676,2004,un1,Live,1,7,White Fir,Abies concolor
319852.7334,4092047.746,2015.010009765625,0.033641657,2004,un1,Live,1,14,White Fir,Abies concolor
319810.8234,4091986.076,2008.22998046875,0.155703523,2004,un1,Live,2,26,White Fir,Abies concolor
319812.8834,4091986.576,2008.3800048828125,0.09174986,2004,un1,Live,2,21,White Fir,Abies concolor
319805.9334,4091984.116,2007.6800537109375,0.996997056,2004,un1,Live,3,55,White Fir,Abies concolor
319803.9934,4092001.106,2009.81005859375,0.787179113,2004,un1,Live,3,50,White Fir,Abies concolor
319804.9034,4092000.516,2010.02001953125,1.089315499,2004,un1,Live,3,57,White Fir,Abies concolor
319809.3334,4092004.266,2011.030029296875,0.481318503,2004,un1,Live,3,41,White Fir,Abies concolor
319809.7734,4092003.606,2011.1400146484375,0.348699111,2004,un1,Live,2,36,White Fir,Abies concolor
319810.3634,4092002.816,2011.010009765625,0.787179113,2004,un1,Live,3,50,White Fir,Abies concolor
319818.1734,4091994.416,2009.8199462890625,0.062626792,2004,un1,Live,1,19,Jeffrey Pine,Pinus jeffreyi
319813.5434,4091984.936,2008.1700439453125,0.425208128,2004,un1,Live,2,39,White Fir,Abies concolor
319810.6134,4091981.876,2007.6099853515625,0.011293003,2004,un1,Live,1,9,White Fir,Abies concolor
319810.3334,4091980.486,2006.97998046875,0.039900826,2004,un1,Live,1,15,White Fir,Abies concolor
319811.4134,4091980.096,2007.06005859375,0.004157572,2004,un1,Live,1,6,White Fir,Abies concolor
319812.6634,4091980.916,2007.4100341796875,0.002655783,2004,un1,Live,1,5,White Fir,Abies concolor
319812.9234,4091981.156,2007.4100341796875,0.054382707,2004,un1,Live,1,17,White Fir,Abies concolor
