xcord,ycord,zcord,carbon,year,plot,state,sizeclass,DBH,commonname,scientificname
319928.4293,4092188.982,2039.3499755859375,0.059472763,2004,bc1,Dead,1,18.6,Jeffrey Pine,Pinus jeffreyi
319928.5793,4092185.752,2039.1700439453125,7.405394289,2004,bc1,Live,6,135.2,Jeffrey Pine,Pinus jeffreyi
319929.0193,4092183.762,2038.699951171875,6.420400611,2004,bc1,Live,6,127.5,Jeffrey Pine,Pinus jeffreyi
319930.4793,4092185.092,2039.050048828125,0.086483609,2004,bc1,Live,2,21.7,Jeffrey Pine,Pinus jeffreyi
319927.4093,4092172.102,2036.6700439453125,0.010985871,2004,bc1,Live,1,8.9,White Fir,Abies concolor
319933.2993,4092173.622,2037.25,3.892099396,2004,bc1,Live,6,103.8,Jeffrey Pine,Pinus jeffreyi
319935.0693,4092170.242,2036.6800537109375,2.857793165,2004,bc1,Live,5,84.1,White Fir,Abies concolor
319939.4793,4092165.252,2035.8599853515625,0.104112861,2004,bc1,Live,2,22.1,White Fir,Abies concolor
319940.2093,4092168.372,2036.3299560546875,0.125084247,2004,bc1,Live,2,23.8,White Fir,Abies concolor
319942.7893,4092166.652,2036.1099853515625,0.049286437,2004,bc1,Live,1,17.2,Incense Cedar,Calocedrus decurrens
319943.0093,4092164.452,2035.77001953125,0.025420998,2004,bc1,Live,1,12.5,White Fir,Abies concolor
319947.3593,4092161.762,2035.4200439453125,3.011897289,2004,bc1,Live,5,85.9,White Fir,Abies concolor
319957.7193,4092168.452,2036.6099853515625,0.064637555,2004,bc1,Dead,1,19.4,Incense Cedar,Calocedrus decurrens
319950.5193,4092180.532,2038.18994140625,2.70985171,2004,bc1,Live,6,101.6,Incense Cedar,Calocedrus decurrens
319940.7793,4092186.042,2039.010009765625,3.990924319,2004,bc1,Dead,6,120.6,Incense Cedar,Calocedrus decurrens
319940.7593,4092188.532,2039.3599853515625,0.128338556,2004,bc1,Live,2,26.3,Incense Cedar,Calocedrus decurrens
319952.5593,4092119.842,2028.72998046875,10.10258978,2004,bc1,Live,6,153.6,Jeffrey Pine,Pinus jeffreyi
319945.2793,4092193.502,2039.9599609375,0.042470462,2004,bc1,Dead,1,16.1,Incense Cedar,Calocedrus decurrens
319957.0193,4092124.372,2029.75,8.874163037,2004,bc1,Live,6,132.8,White Fir,Abies concolor
319858.8693,4092146.522,2032.699951171875,0.045373531,2004,bc1,Live,1,15.8,White Fir,Abies concolor
319878.5693,4092129.022,2028.8399658203125,4.713469396,2004,bc1,Live,6,102.9,White Fir,Abies concolor
319865.4193,4092120.172,2027.8699951171875,8.707058487,2004,bc1,Live,6,144.5,Sugar Pine,Pinus lambertiana
319865.1693,4092133.122,2030.0400390625,0.080632036,2004,bc1,Dead,2,21.4,Incense Cedar,Calocedrus decurrens
319884.0193,4092120.172,2026.6800537109375,4.501211455,2004,bc1,Live,6,127.2,Incense Cedar,Calocedrus decurrens
319845.3193,4092133.322,2032.0699462890625,8.052687246,2004,bc1,Live,6,127.7,White Fir,Abies concolor
319946.2493,4092196.292,2040.1300048828125,0.10295028,2004,bc1,Live,2,22,White Fir,Abies concolor
319945.2693,4092194.772,2040.0899658203125,0.08320198,2004,bc1,Live,2,21.7,Incense Cedar,Calocedrus decurrens
319957.3593,4092198.492,2039.489990234375,5.782387127,2004,bc1,Dead,6,120.2,White Fir,Abies concolor
319940.9293,4092209.842,2040.8699951171875,0.073190719,2004,bc1,Live,2,20.5,Incense Cedar,Calocedrus decurrens
319944.6893,4092119.502,2027.1700439453125,0.141289597,2004,bc1,Live,2,25,White Fir,Abies concolor
319948.4293,4092126.372,2029.050048828125,11.34568005,2004,bc1,Live,6,161.1,Jeffrey Pine,Pinus jeffreyi
319956.1793,4092124.332,2029.6300048828125,1.864743662,2004,bc1,Live,5,86.1,Incense Cedar,Calocedrus decurrens
319934.3193,4092199.342,2040.300048828125,3.438492675,2004,bc1,Live,6,112.9,Incense Cedar,Calocedrus decurrens
319863.2693,4092128.022,2029.3199462890625,7.050566597,2004,bc1,Live,6,132.5,Jeffrey Pine,Pinus jeffreyi
320009.2793,4092078.712,2023.949951171875,0.019809425,2004,bc1,Live,1,11.3,White Fir,Abies concolor
320010.5393,4092078.642,2024,0.174115165,2004,bc1,Live,2,27.2,White Fir,Abies concolor
320009.4293,4092075.812,2023.280029296875,0.037956011,2004,bc1,Live,1,14.7,White Fir,Abies concolor
320009.0993,4092075.642,2023.280029296875,0.112470347,2004,bc1,Live,2,22.8,White Fir,Abies concolor
320010.3593,4092074.852,2023.06005859375,0.144105645,2004,bc1,Live,2,25.2,White Fir,Abies concolor
319866.9193,4092133.622,2030.300048828125,4.442773626,2004,bc1,Live,6,109.6,Sugar Pine,Pinus lambertiana
320032.6793,4092070.052,2021.3499755859375,0.028544779,2004,bc1,Live,1,13.1,White Fir,Abies concolor
320028.1693,4092065.872,2021.22998046875,0.108244993,2004,bc1,Live,2,23.8,Jeffrey Pine,Pinus jeffreyi
320027.0693,4092064.352,2020.81005859375,0.042584698,2004,bc1,Dead,1,15.4,White Fir,Abies concolor
320027.8993,4092063.442,2020.6800537109375,0.024009559,2004,bc1,Dead,1,12.8,Jeffrey Pine,Pinus jeffreyi
319897.0193,4092218.512,2039.260009765625,0.017311535,2004,bc1,Live,1,10.7,White Fir,Abies concolor
319896.9493,4092218.752,2039.260009765625,0.056672398,2004,bc1,Dead,1,18.3,Incense Cedar,Calocedrus decurrens
319898.5493,4092219.482,2039.31005859375,0.063145862,2004,bc1,Live,1,19.2,Incense Cedar,Calocedrus decurrens
319898.5493,4092219.652,2039.3199462890625,0.034604653,2004,bc1,Live,1,14.7,Incense Cedar,Calocedrus decurrens
319895.8293,4092222.972,2039.3299560546875,0.046087292,2004,bc1,Live,1,15.9,White Fir,Abies concolor
319896.2993,4092222.892,2039.3299560546875,0.09174986,2004,bc1,Live,2,21,White Fir,Abies concolor
319897.4093,4092224.852,2039.3900146484375,0.013272858,2004,bc1,Live,1,9.6,Incense Cedar,Calocedrus decurrens
319906.1093,4092229.872,2039.8900146484375,0.003807358,2004,bc1,Dead,1,5.5,Incense Cedar,Calocedrus decurrens
319903.3693,4092224.222,2039.5899658203125,0.096730237,2004,bc1,Dead,2,23.2,Incense Cedar,Calocedrus decurrens
319905.8693,4092216.322,2039.6700439453125,0.146619365,2004,bc1,Dead,2,27.9,Incense Cedar,Calocedrus decurrens
319905.6693,4092216.622,2039.699951171875,0.013902191,2004,bc1,Dead,1,9.8,Incense Cedar,Calocedrus decurrens
319909.2693,4092220.922,2039.81005859375,0.011293003,2004,bc1,Dead,1,9,White Fir,Abies concolor
319907.6693,4092223.722,2039.9000244140625,0.007399993,2004,bc1,Dead,1,7.4,Incense Cedar,Calocedrus decurrens
319907.1693,4092225.022,2039.9000244140625,0.003076899,2004,bc1,Dead,1,5,Incense Cedar,Calocedrus decurrens
319907.0693,4092225.722,2039.989990234375,0.003076899,2004,bc1,Dead,1,5,Incense Cedar,Calocedrus decurrens
319910.5693,4092215.422,2040.1300048828125,0.00768846,2004,bc1,Dead,1,8,Jeffrey Pine,Pinus jeffreyi
319923.2693,4092219.922,2040.6400146484375,0.029530258,2004,bc1,Live,1,13.7,Incense Cedar,Calocedrus decurrens
319922.6693,4092220.122,2040.6400146484375,0.085816948,2004,bc1,Live,2,22,Incense Cedar,Calocedrus decurrens
319922.6693,4092220.722,2040.6600341796875,0.058077264,2004,bc1,Live,1,18.5,Incense Cedar,Calocedrus decurrens
319909.6193,4092236.572,2040.3800048828125,8.178403287,2004,bc1,Dead,6,128.5,White Fir,Abies concolor
319911.0693,4092223.322,2039.969970703125,0.101493192,2004,bc1,Live,2,23.7,Incense Cedar,Calocedrus decurrens
319912.0693,4092229.222,2040.199951171875,0.064637555,2004,bc1,Dead,1,19.4,Incense Cedar,Calocedrus decurrens
319912.6693,4092247.222,2041.510009765625,0.007442034,2004,bc1,Live,1,7.6,White Fir,Abies concolor
319915.4693,4092251.622,2042.239990234375,0.010386711,2004,bc1,Dead,1,8.7,White Fir,Abies concolor
319956.8693,4092213.522,2039.719970703125,0.018023346,2004,bc1,Dead,1,11,Incense Cedar,Calocedrus decurrens
319953.7693,4092214.622,2040.2099609375,0.057604215,2004,bc1,Live,1,17.4,White Fir,Abies concolor
319942.0193,4092211.672,2040.9200439453125,9.691217652,2004,bc1,Live,6,137.6,White Fir,Abies concolor
319937.7693,4092228.622,2041.0699462890625,0.060093317,2004,bc1,Dead,1,17.7,White Fir,Abies concolor
319936.3693,4092249.722,2042.5,0.053920055,2004,bc1,Dead,1,17.9,Incense Cedar,Calocedrus decurrens
319935.3693,4092250.622,2042.6500244140625,0.012244928,2004,bc1,Dead,1,9.3,White Fir,Abies concolor
319933.8693,4092249.622,2042.489990234375,0.135756719,2004,bc1,Live,2,24.6,White Fir,Abies concolor
319934.6693,4092249.822,2042.5,5.387853466,2004,bc1,Live,6,108.6,White Fir,Abies concolor
319932.3693,4092235.222,2041.219970703125,0.013934835,2004,bc1,Dead,1,9.8,White Fir,Abies concolor
319931.4693,4092235.472,2041.1800537109375,1.439405163,2004,bc1,Dead,4,65,White Fir,Abies concolor
319928.7693,4092234.422,2041.02001953125,0.084363596,2004,bc1,Dead,2,20.3,White Fir,Abies concolor
319924.4693,4092234.522,2041.1500244140625,0.073495808,2004,bc1,Dead,1,19.2,White Fir,Abies concolor
319923.4693,4092234.322,2041.06005859375,0.022046278,2004,bc1,Dead,1,11.8,White Fir,Abies concolor
319922.4693,4092232.922,2040.9599609375,0.10884138,2004,bc1,Dead,2,22.5,White Fir,Abies concolor
